id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_sale_subscription_report_salesman,access_sale_subscription_report_salesman,model_sale_subscription_report,sales_team.group_sale_salesman,1,0,0,0
access_sale_subscription_report_manager,access_sale_subscription_report_manager,model_sale_subscription_report,sales_team.group_sale_manager,1,1,1,1
access_sale_subscription_manager,access_sale_subscription_manager,model_sale_subscription,sale_contract.group_sale_contract_manager,1,1,1,1
access_sale_subscription_template_manager,access_sale_subscription_template_manager,model_sale_subscription_template,sale_contract.group_sale_contract_manager,1,1,1,1
access_sale_subscription_line_manager,access_sale_subscription_line_manager,model_sale_subscription_line,sale_contract.group_sale_contract_manager,1,1,1,1
access_sale_subscription_template_line_manager,access_sale_subscription_template_line_manager,model_sale_subscription_template_line,sale_contract.group_sale_contract_manager,1,1,1,1
access_sale_subscription_close_reason_manager,access_sale_subscription_close_reason_manager,model_sale_subscription_close_reason,sale_contract.group_sale_contract_manager,1,1,1,1
access_sale_subscription_view,access_sale_subscription_view,model_sale_subscription,sale_contract.group_sale_contract_view,1,0,0,0
access_sale_subscription_template_view,access_sale_subscription_template_view,model_sale_subscription_template,sale_contract.group_sale_contract_view,1,0,0,0
access_sale_subscription_line_view,access_sale_subscription_line_view,model_sale_subscription_line,sale_contract.group_sale_contract_view,1,0,0,0
access_sale_subscription_template_line_view,access_sale_subscription_template_line_view,model_sale_subscription_template_line,sale_contract.group_sale_contract_view,1,0,0,0
access_sale_subscription_close_reason_view,access_sale_subscription_close_reason_view,model_sale_subscription_close_reason,sale_contract.group_sale_contract_view,1,0,0,0
